,Unnamed: 0.1,Unnamed: 0,name,year,month,day,hour,lat,long,wind,pressure,status_disturbance,status_extratropical,status_hurricane,status_other low,status_subtropical depression,status_subtropical storm,status_tropical depression,status_tropical storm,status_tropical wave,bearing_last_deg,displacment_km,speed_kmh,last_loc_lat,last_loc_long,land
0,0,1,Amy,1975,6,27,0,27.5,-79.0,25,1013,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
1,1,2,Amy,1975,6,27,6,28.5,-79.0,25,1013,0,0,0,0,0,0,1,0,0,90.0,110.81946665981843,18.46991110996974,27.5,-79.0,0
2,2,3,Amy,1975,6,27,12,29.5,-79.0,25,1013,0,0,0,0,0,0,1,0,0,90.0,110.8357797832052,18.472629963867533,28.5,-79.0,0
3,3,4,Amy,1975,6,27,18,30.5,-79.0,25,1013,0,0,0,0,0,0,1,0,0,90.0,110.85245682532575,18.475409470887623,29.5,-79.0,0
4,4,5,Amy,1975,6,28,0,31.5,-78.8,25,1012,0,0,0,0,0,0,1,0,0,78.69006752597963,112.502730026637,18.750455004439498,30.5,-79.0,0
5,5,6,Amy,1975,6,28,6,32.4,-78.7,25,1012,0,0,0,0,0,0,1,0,0,83.65980825409045,100.24416985904884,16.707361643174806,31.5,-78.8,0
6,6,7,Amy,1975,6,28,12,33.3,-78.0,25,1011,0,0,0,0,0,0,1,0,0,52.12501634890164,119.3986064061527,19.899767734358782,32.4,-78.7,0
7,7,8,Amy,1975,6,28,18,34.0,-77.0,30,1006,0,0,0,0,0,0,1,0,0,34.99202019855878,120.96540704952555,20.160901174920927,33.3,-78.0,0
8,8,9,Amy,1975,6,29,0,34.4,-75.8,35,1004,0,0,0,0,0,0,0,1,0,18.43494882292191,119.16840612539983,19.861401020899972,34.0,-77.0,0
9,9,10,Amy,1975,6,29,6,34.0,-74.8,40,1002,0,0,0,0,0,0,0,1,0,-21.801409486351744,102.29109648366553,17.04851608061092,34.4,-75.8,0
10,10,11,Amy,1975,6,29,12,33.8,-73.8,45,1000,0,0,0,0,0,0,0,1,0,-11.30993247402037,95.11563507164608,15.852605845274347,34.0,-74.8,0
11,11,12,Amy,1975,6,29,18,33.8,-72.8,50,998,0,0,0,0,0,0,0,1,0,0.0,92.60037329569187,15.433395549281977,33.8,-73.8,0
12,12,13,Amy,1975,6,30,0,34.3,-71.6,50,998,0,0,0,0,0,0,0,1,0,22.619864948040377,123.90152448504726,20.65025408084121,33.8,-72.8,0
13,13,14,Amy,1975,6,30,6,35.6,-70.8,55,998,0,0,0,0,0,0,0,1,0,58.39249775375128,161.67626837622856,26.946044729371426,34.3,-71.6,0
14,14,15,Amy,1975,6,30,12,35.9,-70.5,60,987,0,0,0,0,0,0,0,1,0,45.0,42.944611316240774,7.157435219373462,35.6,-70.8,0
15,15,16,Amy,1975,6,30,18,36.2,-70.2,60,987,0,0,0,0,0,0,0,1,0,45.00000000000068,42.88140385852624,7.146900643087707,35.9,-70.5,0
16,16,17,Amy,1975,7,1,0,36.2,-69.8,60,984,0,0,0,0,0,0,0,1,0,0.0,35.97416515613707,5.995694192689512,36.2,-70.2,0
