,Unnamed: 0,name,year,month,day,hour,lat,long,wind,pressure,status_disturbance,status_extratropical,status_hurricane,status_other low,status_subtropical depression,status_subtropical storm,status_tropical depression,status_tropical storm,status_tropical wave
0,1,Amy,1975,6,27,0,27.5,-79.0,25,1013,0,0,0,0,0,0,1,0,0
1,2,Amy,1975,6,27,6,28.5,-79.0,25,1013,0,0,0,0,0,0,1,0,0
2,3,Amy,1975,6,27,12,29.5,-79.0,25,1013,0,0,0,0,0,0,1,0,0
3,4,Amy,1975,6,27,18,30.5,-79.0,25,1013,0,0,0,0,0,0,1,0,0
4,5,Amy,1975,6,28,0,31.5,-78.8,25,1012,0,0,0,0,0,0,1,0,0
5,6,Amy,1975,6,28,6,32.4,-78.7,25,1012,0,0,0,0,0,0,1,0,0
6,7,Amy,1975,6,28,12,33.3,-78.0,25,1011,0,0,0,0,0,0,1,0,0
7,8,Amy,1975,6,28,18,34.0,-77.0,30,1006,0,0,0,0,0,0,1,0,0
8,9,Amy,1975,6,29,0,34.4,-75.8,35,1004,0,0,0,0,0,0,0,1,0
9,10,Amy,1975,6,29,6,34.0,-74.8,40,1002,0,0,0,0,0,0,0,1,0
10,11,Amy,1975,6,29,12,33.8,-73.8,45,1000,0,0,0,0,0,0,0,1,0
11,12,Amy,1975,6,29,18,33.8,-72.8,50,998,0,0,0,0,0,0,0,1,0
12,13,Amy,1975,6,30,0,34.3,-71.6,50,998,0,0,0,0,0,0,0,1,0
13,14,Amy,1975,6,30,6,35.6,-70.8,55,998,0,0,0,0,0,0,0,1,0
14,15,Amy,1975,6,30,12,35.9,-70.5,60,987,0,0,0,0,0,0,0,1,0
15,16,Amy,1975,6,30,18,36.2,-70.2,60,987,0,0,0,0,0,0,0,1,0
16,17,Amy,1975,7,1,0,36.2,-69.8,60,984,0,0,0,0,0,0,0,1,0
17,18,Amy,1975,7,1,6,36.2,-69.4,60,984,0,0,0,0,0,0,0,1,0
18,19,Amy,1975,7,1,12,36.2,-68.3,60,984,0,0,0,0,0,0,0,1,0
19,20,Amy,1975,7,1,18,36.7,-67.2,60,984,0,0,0,0,0,0,0,1,0
20,21,Amy,1975,7,2,0,37.4,-66.7,60,984,0,0,0,0,0,0,0,1,0
21,22,Amy,1975,7,2,6,37.3,-65.9,60,984,0,0,0,0,0,0,0,1,0
22,23,Amy,1975,7,2,12,37.3,-65.1,60,981,0,0,0,0,0,0,0,1,0
23,24,Amy,1975,7,2,18,37.3,-64.1,60,986,0,0,0,0,0,0,0,1,0
24,25,Amy,1975,7,3,0,37.7,-62.8,55,986,0,0,0,0,0,0,0,1,0
25,26,Amy,1975,7,3,6,38.2,-61.2,55,986,0,0,0,0,0,0,0,1,0
26,27,Amy,1975,7,3,12,39.3,-59.6,55,986,0,0,0,0,0,0,0,1,0
27,28,Amy,1975,7,3,18,40.5,-58.0,50,986,0,0,0,0,0,0,0,1,0
28,29,Amy,1975,7,4,0,42.5,-54.8,50,986,0,0,0,0,0,0,0,1,0
29,30,Amy,1975,7,4,6,44.5,-51.6,50,986,0,0,0,0,0,0,0,1,0
30,31,Amy,1975,7,4,12,47.0,-48.0,45,995,0,1,0,0,0,0,0,0,0
31,32,Blanche,1975,7,24,0,26.0,-68.4,20,1014,0,0,0,0,0,0,1,0,0
32,33,Blanche,1975,7,24,6,26.0,-69.5,20,1014,0,0,0,0,0,0,1,0,0
33,34,Blanche,1975,7,24,12,26.1,-70.5,25,1014,0,0,0,0,0,0,1,0,0
34,35,Blanche,1975,7,24,18,26.5,-71.5,30,1013,0,0,0,0,0,0,1,0,0
35,36,Blanche,1975,7,25,0,27.2,-72.5,30,1012,0,0,0,0,0,0,1,0,0
36,37,Blanche,1975,7,25,6,28.0,-73.6,30,1010,0,0,0,0,0,0,1,0,0
37,38,Blanche,1975,7,25,12,28.9,-74.3,30,1007,0,0,0,0,0,0,1,0,0
38,39,Blanche,1975,7,25,18,29.9,-74.9,30,1006,0,0,0,0,0,0,1,0,0
39,40,Blanche,1975,7,26,0,31.0,-75.0,30,1005,0,0,0,0,0,0,1,0,0
40,41,Blanche,1975,7,26,6,32.2,-74.6,35,1004,0,0,0,0,0,0,0,1,0
41,42,Blanche,1975,7,26,12,33.4,-73.5,35,1003,0,0,0,0,0,0,0,1,0
42,43,Blanche,1975,7,26,18,34.2,-72.2,50,998,0,0,0,0,0,0,0,1,0
43,44,Blanche,1975,7,27,0,35.0,-71.0,60,992,0,0,0,0,0,0,0,1,0
44,45,Blanche,1975,7,27,6,35.9,-70.0,65,987,0,0,1,0,0,0,0,0,0
45,46,Blanche,1975,7,27,12,36.9,-69.0,70,984,0,0,1,0,0,0,0,0,0
46,47,Blanche,1975,7,27,18,37.9,-68.0,75,981,0,0,1,0,0,0,0,0,0
47,48,Blanche,1975,7,28,0,39.3,-67.2,75,980,0,0,1,0,0,0,0,0,0
48,49,Blanche,1975,7,28,6,41.2,-66.4,70,980,0,0,1,0,0,0,0,0,0
49,50,Blanche,1975,7,28,12,44.0,-65.2,60,988,0,1,0,0,0,0,0,0,0
50,51,Blanche,1975,7,28,18,47.2,-62.4,60,992,0,1,0,0,0,0,0,0,0
51,52,Caroline,1975,8,24,12,22.4,-69.8,25,1011,0,0,0,0,0,0,1,0,0
52,53,Caroline,1975,8,24,18,21.9,-71.1,25,1011,0,0,0,0,0,0,1,0,0
53,54,Caroline,1975,8,25,0,21.6,-72.5,25,1010,0,0,0,0,0,0,1,0,0
54,55,Caroline,1975,8,25,6,21.2,-73.8,25,1010,0,0,0,0,0,0,1,0,0
55,56,Caroline,1975,8,25,12,20.9,-75.1,25,1011,0,0,0,0,0,0,1,0,0
56,57,Caroline,1975,8,25,18,20.6,-76.4,25,1011,0,0,0,0,0,0,1,0,0
57,58,Caroline,1975,8,26,0,20.4,-77.7,25,1011,0,0,0,0,0,0,1,0,0
58,59,Caroline,1975,8,26,6,20.3,-79.0,25,1011,0,0,0,0,0,0,1,0,0
59,60,Caroline,1975,8,26,12,20.2,-80.3,25,1012,0,0,0,0,0,0,1,0,0
60,61,Caroline,1975,8,26,18,20.2,-81.6,25,1012,0,0,0,0,0,0,1,0,0
61,62,Caroline,1975,8,27,0,20.4,-82.8,25,1013,0,0,0,0,0,0,1,0,0
62,63,Caroline,1975,8,27,6,20.8,-84.0,25,1013,0,0,0,0,0,0,1,0,0
63,64,Caroline,1975,8,27,12,21.1,-85.1,25,1014,0,0,0,0,0,0,1,0,0
64,65,Caroline,1975,8,27,18,21.5,-86.3,25,1014,0,0,0,0,0,0,1,0,0
65,66,Caroline,1975,8,28,0,22.0,-87.5,25,1014,0,0,0,0,0,0,1,0,0
66,67,Caroline,1975,8,28,6,22.4,-88.8,25,1014,0,0,0,0,0,0,1,0,0
67,68,Caroline,1975,8,28,12,22.8,-90.1,25,1013,0,0,0,0,0,0,1,0,0
68,69,Caroline,1975,8,28,18,22.9,-91.0,25,1010,0,0,0,0,0,0,1,0,0
69,70,Caroline,1975,8,29,0,23.0,-91.9,30,1007,0,0,0,0,0,0,1,0,0
70,71,Caroline,1975,8,29,6,23.1,-92.6,35,1003,0,0,0,0,0,0,0,1,0
71,72,Caroline,1975,8,29,12,23.2,-93.2,40,999,0,0,0,0,0,0,0,1,0
72,73,Caroline,1975,8,29,18,23.2,-93.6,50,994,0,0,0,0,0,0,0,1,0
73,74,Caroline,1975,8,30,0,23.3,-94.2,65,990,0,0,1,0,0,0,0,0,0
74,75,Caroline,1975,8,30,6,23.5,-94.9,65,990,0,0,1,0,0,0,0,0,0
75,76,Caroline,1975,8,30,12,23.7,-95.6,65,989,0,0,1,0,0,0,0,0,0
