lat,long
11.7,-50.9
11.8,-52.7
11.9,-54.3
12.1,-55.4
12.5,-56.5
13.0,-57.7
13.5,-58.8
14.2,-59.8
15.0,-60.8
15.5,-61.3
15.8,-61.7
16.5,-62.8
16.8,-63.5
17.4,-64.2
17.9,-64.7
18.5,-65.2
19.0,-65.8
19.7,-66.4
20.4,-67.0
20.7,-67.1
21.2,-67.5
22.0,-68.2
22.9,-68.8
24.0,-69.1
25.0,-69.4
26.1,-69.5
27.2,-69.3
28.4,-69.0
29.6,-68.6
31.0,-68.2
32.6,-67.7
34.2,-66.8
35.8,-66.1
37.3,-65.2
38.3,-64.3
39.0,-63.3
39.3,-61.9
39.4,-60.6
39.6,-59.3
39.8,-58.3
39.7,-57.6
39.4,-57.1
39.0,-56.8
38.4,-56.7
37.8,-56.7
37.1,-56.7
36.6,-56.8
35.9,-57.2
35.0,-58.1
33.8,-57.7
33.0,-57.0
32.6,-56.6
32.0,-56.3
31.1,-56.0
30.9,-55.1
31.0,-54.7
31.1,-54.2
31.3,-53.8
31.5,-53.4
31.7,-53.1
31.8,-52.6
32.2,-52.1
32.6,-51.7
32.9,-51.4
33.2,-51.1
33.6,-50.9
34.0,-50.6
34.3,-49.9
34.8,-49.1
35.3,-48.2
35.3,-47.2
34.9,-47.7
34.6,-48.5
34.6,-49.3
34.7,-50.0
34.8,-50.5
35.0,-51.0
35.2,-51.5
35.3,-51.9
7.0,-22.0
7.4,-23.0
7.8,-24.1
8.1,-25.1
8.3,-26.0
8.7,-27.1
9.2,-28.4
9.8,-29.5
10.5,-30.6
11.0,-31.8
11.4,-33.0
11.8,-33.9
12.1,-34.9
12.5,-35.8
12.7,-36.7
13.5,-37.7
14.4,-38.4
15.1,-39.2
15.7,-40.0
16.5,-41.0
17.2,-42.1
17.8,-43.1
26.2,-59.9
27.5,-59.4
28.7,-58.8
29.7,-58.0
30.4,-57.2
31.4,-56.3
32.4,-55.2
33.3,-53.5
34.1,-52.3
34.8,-51.3
35.7,-50.5
37.0,-49.0
39.0,-47.0
15.5,-38.0
15.6,-39.4
15.8,-40.8
16.0,-41.9
16.4,-42.8
16.9,-43.7
17.5,-44.8
18.1,-45.9
18.8,-47.1
19.5,-48.3
20.2,-49.5
21.0,-50.6
22.0,-51.7
23.2,-52.6
24.4,-53.4
25.6,-54.0
27.0,-54.0
28.3,-53.7
29.6,-53.3
30.5,-52.2
30.8,-50.7
30.8,-49.1
30.7,-47.5
30.6,-45.4
30.6,-43.0
30.8,-40.6
31.1,-38.8
31.7,-37.1
32.5,-35.9
33.1,-35.1
33.5,-34.5
33.9,-33.9
34.3,-33.3
34.9,-32.7
35.5,-32.3
36.1,-32.0
36.7,-32.0
37.1,-32.0
37.2,-31.6
36.9,-30.9
36.5,-30.0
36.2,-29.0
35.9,-28.2
35.4,-27.4
34.6,-27.3
33.6,-27.2
32.5,-26.9
31.8,-26.7
31.0,-26.4
30.5,-26.2
30.4,-25.9
30.4,-25.6
30.6,-25.4
30.9,-25.8
31.1,-26.2
31.3,-26.7
31.5,-27.4
31.8,-28.1
32.1,-28.8
32.1,-29.5
32.0,-29.9
31.7,-30.1
31.4,-30.3
31.1,-30.4
30.7,-30.5
30.2,-30.7
29.6,-31.0
29.1,-31.4
28.7,-31.9
28.5,-32.5
28.5,-33.2
28.7,-33.9
29.2,-34.4
29.7,-34.8
30.5,-35.3
31.4,-35.7
32.6,-36.1
33.8,-36.6
35.0,-37.1
36.0,-37.6
36.8,-38.3
37.2,-38.9
36.9,-39.4
36.4,-39.4
35.9,-39.4
35.4,-39.4
34.8,-39.1
34.5,-38.5
34.3,-37.9
34.3,-37.1
34.4,-36.2
34.6,-35.3
34.9,-34.0
35.4,-32.5
36.3,-30.9
37.6,-29.1
9.3,-26.7
9.5,-27.6
9.8,-28.4
10.1,-29.0
10.4,-29.6
10.8,-30.2
11.2,-30.7
11.8,-30.9
12.3,-31.4
12.8,-32.0
13.3,-32.5
13.6,-33.1
13.9,-33.8
14.3,-34.6
14.8,-35.0
15.3,-35.3
15.8,-35.7
16.2,-37.0
28.0,-93.8
27.8,-93.9
27.6,-94.1
27.7,-94.5
27.8,-94.7
27.9,-95.0
28.1,-95.6
28.5,-96.3
29.1,-96.9
28.9,-98.5
28.9,-98.9
28.7,-99.3
29.0,-99.5
28.9,-99.1
28.5,-99.2
28.3,-99.2
28.1,-99.4
27.8,-99.6
27.4,-99.5
27.0,-99.3
26.8,-99.8
26.6,-100.4
26.5,-101.0
18.4,-67.4
18.5,-68.4
18.5,-68.8
18.6,-70.2
18.7,-71.4
18.8,-72.8
18.8,-72.9
19.1,-74.6
19.3,-75.7
19.6,-76.9
19.9,-77.4
20.0,-78.1
20.7,-79.6
21.1,-80.3
21.9,-80.8
22.1,-80.8
23.2,-81.2
24.3,-81.7
24.5,-81.8
25.0,-81.9
25.5,-81.8
25.9,-81.6
26.4,-81.4
27.0,-81.1
27.5,-80.9
28.0,-80.6
28.4,-80.6
28.7,-80.6
28.9,-80.5
29.1,-80.7
29.2,-80.7
29.3,-81.0
