year,month,day,hour,wind,pressure,status_disturbance,status_extratropical,status_hurricane,status_other low,status_subtropical depression,status_subtropical storm,status_tropical depression,status_tropical storm,status_tropical wave,bearing_last_deg,displacment_km,speed_kmh,last_loc_lat,last_loc_long,land
2005,10,8,6,40,1001,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0
2005,10,8,12,45,1000,0,0,0,0,0,1,0,0,0,18.434948822922216,30.164493562771327,5.027415593795221,32.9,-20.6,0
2005,10,8,18,45,1000,0,0,0,0,0,1,0,0,0,26.5650511770784,21.72430776799126,3.6207179613318767,33.0,-20.3,0
2005,10,9,0,45,999,0,0,0,0,0,1,0,0,0,45.0,14.492859554977343,2.415476592496224,33.1,-20.1,0
2005,10,9,6,50,998,0,0,0,0,0,1,0,0,0,26.56505117707758,43.35798438070922,7.226330730118203,33.2,-20.0,0
2005,10,9,12,55,995,0,0,0,0,0,0,0,1,0,53.13010235415582,52.380016372657295,8.730002728776215,33.4,-19.6,0
2005,10,9,18,65,988,0,0,1,0,0,0,0,0,0,36.86989764584426,49.744387985467014,8.29073133091117,33.8,-19.3,0
2005,10,10,0,60,990,0,0,0,0,0,0,0,1,0,18.434948822921704,59.58461187302693,9.930768645504488,34.1,-18.9,0
2005,10,10,6,50,992,0,0,0,0,0,0,0,1,0,10.30484646876616,103.54849449777444,17.25808241629574,34.3,-18.3,0
2005,10,10,12,45,995,0,0,0,0,0,0,0,1,0,6.009005957494614,175.69106840636402,29.281844734394003,34.5,-17.2,0
2005,10,10,18,35,998,0,0,0,0,0,0,0,1,0,15.64224645720864,240.9310634797404,40.1551772466234,34.7,-15.3,0
2005,10,11,0,30,1000,0,0,0,0,0,0,1,0,0,16.927513064147103,222.04739036202187,37.00789839367031,35.4,-12.8,0
2005,10,11,6,30,1002,0,0,0,0,0,0,1,0,0,15.255118703057816,208.27550423816905,34.71258403969484,36.1,-10.5,0
2005,10,11,9,30,1002,0,0,0,0,0,0,1,0,0,22.61986494804041,120.42748848449072,20.071248080748457,36.7,-8.3,1
2005,10,11,12,30,1003,0,0,0,0,0,0,1,0,0,24.443954780416544,112.03963754665035,18.67327292444173,37.2,-7.1,1
2010,9,8,6,30,1006,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
2010,9,8,12,40,1005,0,0,0,0,0,0,0,1,0,18.43494882292191,68.51957573891245,11.41992928981874,14.0,-22.7,0
2010,9,8,18,40,1005,0,0,0,0,0,0,0,1,0,-0.0,43.25070225870071,7.208450376450119,13.8,-23.3,0
2010,9,9,0,40,1005,0,0,0,0,0,0,0,1,0,-0.0,43.250702258701104,7.208450376450184,13.8,-23.7,0
2010,9,9,6,35,1005,0,0,0,0,0,0,0,1,0,-8.130102354155959,76.47707028472708,12.746178380787846,13.8,-24.1,0
2010,9,9,12,30,1006,0,0,0,0,0,0,1,0,0,-23.198590513648135,82.57218348491816,13.762030580819692,13.9,-24.8,0
2010,9,9,18,30,1006,0,0,0,0,0,0,1,0,0,-29.054604099077185,111.69988264089832,18.616647106816384,14.2,-25.5,0
2010,9,10,0,30,1004,0,0,0,0,0,0,1,0,0,-32.4711922908485,141.3811711678268,23.563528527971133,14.7,-26.4,0
2010,9,10,6,30,1004,0,0,0,0,0,0,1,0,0,-22.619864948040437,140.05354711693494,23.342257852822488,15.4,-27.5,0
2010,9,10,12,35,1004,0,0,0,0,0,0,0,1,0,-13.24051991518722,187.17582837477204,31.19597139579534,15.9,-28.7,0
2010,9,10,18,40,1002,0,0,0,0,0,0,0,1,0,-8.130102354155992,226.7049412768077,37.78415687946794,16.3,-30.4,0
2010,9,11,0,50,999,0,0,0,0,0,0,0,1,0,-7.431407971172447,247.47516263828012,41.245860439713354,16.6,-32.5,0
2010,9,11,6,60,995,0,0,0,0,0,0,0,1,0,-5.194428907734872,235.31073802177863,39.21845633696311,16.9,-34.8,0
2010,9,11,12,60,995,0,0,0,0,0,0,0,1,0,-6.709836807756899,182.18171803207855,30.36361967201309,17.1,-37.0,0
