lat,long
32.9,-20.6
33.0,-20.3
33.1,-20.1
33.2,-20.0
33.4,-19.6
33.8,-19.3
34.1,-18.9
34.3,-18.3
34.5,-17.2
34.7,-15.3
35.4,-12.8
36.1,-10.5
36.7,-8.3
37.2,-7.1
37.7,-6.0
14.0,-22.7
13.8,-23.3
13.8,-23.7
13.8,-24.1
13.9,-24.8
14.2,-25.5
14.7,-26.4
15.4,-27.5
15.9,-28.7
16.3,-30.4
16.6,-32.5
16.9,-34.8
17.1,-37.0
17.3,-38.7
17.4,-40.4
17.6,-42.0
17.7,-43.5
17.7,-44.9
17.7,-46.1
17.7,-47.3
17.6,-48.3
17.6,-49.3
17.6,-50.2
17.7,-50.9
17.9,-51.5
18.2,-52.1
18.6,-52.8
18.9,-53.5
19.2,-54.1
19.5,-54.7
19.8,-55.3
20.1,-56.0
20.4,-56.5
20.8,-57.1
21.4,-57.8
21.8,-58.4
22.2,-59.1
22.8,-59.9
23.5,-60.7
24.2,-61.6
24.9,-62.5
25.7,-63.3
26.6,-64.0
27.5,-64.6
28.4,-65.2
29.6,-65.6
30.8,-65.9
31.9,-65.7
33.2,-65.2
35.1,-64.2
37.2,-62.6
39.0,-60.4
41.5,-57.0
44.8,-54.4
46.6,-53.2
48.5,-52.1
51.5,-50.5
53.5,-49.5
55.5,-49.4
57.0,-50.0
58.5,-51.0
13.4,-31.6
13.3,-32.7
13.2,-33.8
13.0,-34.8
12.4,-35.7
12.2,-36.7
12.0,-37.7
12.1,-38.8
12.4,-39.9
12.7,-40.6
13.0,-41.5
13.2,-42.3
13.5,-43.1
13.9,-44.0
14.1,-44.9
14.7,-45.5
15.3,-46.1
15.9,-46.9
16.6,-47.5
17.4,-48.0
18.1,-48.5
18.7,-48.9
19.4,-49.0
20.0,-49.1
20.9,-49.3
22.2,-49.5
23.4,-49.7
24.5,-49.9
25.8,-50.3
27.1,-51.1
28.2,-51.9
29.8,-52.0
30.9,-51.9
31.9,-51.5
32.8,-51.0
33.5,-50.3
34.7,-49.5
36.1,-48.5
38.0,-46.5
40.2,-44.4
42.9,-42.0
46.2,-38.8
50.2,-34.5
55.0,-30.0
14.9,-52.2
15.3,-53.0
15.6,-53.6
15.8,-54.4
16.1,-55.9
16.4,-58.0
16.6,-59.9
16.6,-61.7
16.4,-63.6
16.7,-65.6
17.0,-67.1
17.1,-68.7
17.2,-70.6
17.4,-72.5
17.6,-74.4
18.3,-76.3
18.9,-78.3
19.4,-79.6
19.9,-81.0
20.7,-82.6
21.8,-84.3
23.0,-85.4
23.9,-86.1
24.9,-86.6
26.1,-87.0
27.1,-87.1
28.4,-87.2
29.5,-87.2
30.5,-86.6
31.6,-85.4
32.9,-83.5
33.6,-81.7
34.4,-80.0
35.4,-78.0
36.4,-76.1
37.2,-74.7
38.0,-72.5
39.2,-70.1
40.1,-66.8
41.6,-62.2
44.0,-55.5
46.1,-48.8
11.9,-22.0
11.9,-23.2
11.9,-24.6
12.0,-26.1
12.2,-28.0
12.5,-30.0
12.9,-31.9
13.2,-33.8
13.6,-35.6
14.0,-37.0
14.4,-38.3
14.8,-39.6
15.5,-40.8
16.2,-42.1
17.0,-43.3
17.7,-44.3
18.4,-45.3
18.9,-46.2
19.4,-47.1
19.9,-47.9
20.3,-48.4
20.8,-48.8
21.4,-49.1
22.0,-49.4
22.7,-49.7
23.6,-50.4
24.0,-51.0
24.3,-51.7
24.4,-52.5
24.4,-53.5
24.5,-54.4
24.9,-55.2
25.4,-56.0
25.9,-56.7
26.8,-57.0
27.8,-57.0
29.0,-57.0
30.2,-57.0
31.4,-56.6
32.5,-55.9
33.6,-55.1
34.9,-53.7
35.7,-51.7
36.4,-49.6
37.1,-47.5
37.7,-45.4
38.6,-43.2
39.5,-40.9
40.6,-38.2
42.0,-35.9
43.2,-34.7
44.1,-33.3
44.7,-31.7
44.9,-29.8
45.0,-27.6
45.5,-25.2
46.0,-22.7
47.2,-20.1
49.0,-17.0
51.3,-13.3
53.9,-10.1
56.3,-7.6
13.7,-43.0
13.6,-44.6
13.5,-46.3
13.4,-48.2
13.4,-50.5
13.4,-52.9
13.4,-55.4
13.3,-57.9
13.3,-59.9
13.5,-61.4
13.7,-63.2
13.9,-65.6
14.1,-68.0
14.1,-70.4
14.1,-72.7
14.1,-74.9
14.1,-76.6
14.1,-78.4
14.1,-80.1
14.1,-81.8
14.3,-83.6
14.7,-85.3
15.2,-87.0
15.7,-88.6
16.5,-89.5
17.5,-90.5
18.5,-91.0
19.2,-91.5
19.3,-92.6
19.3,-94.2
19.7,-95.2
19.9,-95.7
20.3,-95.9
20.8,-96.1
21.4,-96.8
21.9,-97.7
22.5,-98.7
22.7,-98.9
13.4,-16.8
13.5,-17.4
13.6,-18.0
13.7,-18.9
13.5,-19.9
13.3,-21.0
13.2,-22.2
13.1,-23.4
13.2,-24.5
13.4,-25.6
13.7,-26.7
14.0,-28.0
14.4,-29.4
14.8,-30.8
15.3,-32.1
15.7,-33.2
16.2,-34.0
16.8,-34.6
17.6,-35.3
18.7,-35.8
19.8,-36.3
20.8,-36.7
21.9,-37.1
22.9,-37.3
24.1,-37.4
25.4,-37.4
27.2,-37.4
29.4,-37.3
31.8,-37.2
33.7,-37.0
35.2,-36.5
36.9,-35.7
38.4,-34.5
39.6,-32.9
40.6,-31.5
41.8,-29.6
43.1,-27.1
44.1,-24.0
45.2,-20.0
46.7,-16.0
48.0,-12.5
49.5,-10.0
14.8,-54.0
14.9,-55.7
15.1,-57.4
15.3,-59.0
15.6,-60.6
16.1,-62.3
16.8,-64.0
17.8,-65.4
18.9,-66.9
19.6,-68.3
20.3,-70.0
21.3,-71.7
22.1,-72.8
22.7,-73.7
23.7,-74.5
24.8,-74.4
26.3,-73.9
27.7,-73.0
29.0,-72.0
30.2,-70.9
31.5,-69.6
32.5,-68.5
33.4,-67.1
34.1,-65.6
34.9,-63.5
35.8,-60.7
36.8,-57.0
37.7,-53.2
38.3,-49.4
38.8,-45.6
39.2,-41.9
39.6,-38.6
39.9,-35.3
40.1,-33.0
40.3,-30.7
40.5,-28.2
10.6,-80.7
10.7,-81.3
11.0,-82.2
11.3,-83.0
11.8,-83.8
12.1,-84.3
12.5,-84.9
12.9,-85.4
13.3,-85.8
13.8,-86.3
14.5,-86.8
15.4,-87.3
16.3,-87.8
17.3,-88.1
18.2,-88.6
18.7,-89.3
19.2,-90.5
19.6,-91.6
20.0,-92.5
20.5,-93.2
20.7,-93.9
20.9,-94.2
21.1,-95.0
21.2,-95.9
21.3,-97.0
21.2,-97.5
21.1,-98.3
20.9,-100.2
20.8,-102.5
20.8,-104.7
12.6,-24.2
12.9,-26.1
13.3,-28.0
13.8,-29.8
14.2,-31.9
14.8,-33.8
15.1,-35.6
15.4,-37.3
15.9,-39.2
16.1,-40.8
16.3,-42.2
16.6,-43.5
16.8,-44.6
17.1,-45.8
17.2,-46.9
17.4,-47.9
17.5,-48.9
17.7,-50.0
17.8,-50.8
18.0,-51.7
18.2,-52.6
18.6,-53.4
19.0,-54.2
19.4,-55.0
19.9,-55.7
20.4,-56.3
20.9,-56.8
21.6,-57.1
22.2,-57.4
22.8,-57.8
23.4,-58.1
24.1,-58.7
24.7,-59.2
25.5,-60.0
26.2,-60.7
26.8,-61.4
27.6,-62.4
28.3,-62.7
29.2,-62.9
30.1,-62.8
31.3,-62.6
32.7,-62.1
34.3,-61.2
36.2,-60.4
38.1,-59.4
40.3,-57.9
42.2,-55.6
44.6,-54.5
46.6,-51.9
19.3,-92.9
19.8,-93.8
20.8,-95.0
21.0,-95.8
21.4,-96.6
21.8,-97.6
22.3,-98.6
22.5,-100.0
22.5,-101.4
26.2,-58.0
26.9,-59.4
27.3,-60.6
27.5,-61.5
27.7,-62.3
28.1,-62.9
28.8,-63.1
29.6,-63.3
30.6,-63.4
31.6,-63.2
32.9,-62.7
34.2,-61.6
35.6,-60.3
37.1,-58.1
38.6,-55.8
40.1,-53.4
41.5,-50.9
42.9,-48.3
