,Unnamed: 0,name,year,month,day,hour,lat,long,status,wind,pressure
0,1,Amy,1975,6,27,0,27.5,-79.0,tropical depression,25,1013
1,2,Amy,1975,6,27,6,28.5,-79.0,tropical depression,25,1013
2,3,Amy,1975,6,27,12,29.5,-79.0,tropical depression,25,1013
3,4,Amy,1975,6,27,18,30.5,-79.0,tropical depression,25,1013
4,5,Amy,1975,6,28,0,31.5,-78.8,tropical depression,25,1012
5,6,Amy,1975,6,28,6,32.4,-78.7,tropical depression,25,1012
6,7,Amy,1975,6,28,12,33.3,-78.0,tropical depression,25,1011
7,8,Amy,1975,6,28,18,34.0,-77.0,tropical depression,30,1006
8,9,Amy,1975,6,29,0,34.4,-75.8,tropical storm,35,1004
9,10,Amy,1975,6,29,6,34.0,-74.8,tropical storm,40,1002
10,11,Amy,1975,6,29,12,33.8,-73.8,tropical storm,45,1000
11,12,Amy,1975,6,29,18,33.8,-72.8,tropical storm,50,998
12,13,Amy,1975,6,30,0,34.3,-71.6,tropical storm,50,998
13,14,Amy,1975,6,30,6,35.6,-70.8,tropical storm,55,998
14,15,Amy,1975,6,30,12,35.9,-70.5,tropical storm,60,987
15,16,Amy,1975,6,30,18,36.2,-70.2,tropical storm,60,987
16,17,Amy,1975,7,1,0,36.2,-69.8,tropical storm,60,984
17,18,Amy,1975,7,1,6,36.2,-69.4,tropical storm,60,984
18,19,Amy,1975,7,1,12,36.2,-68.3,tropical storm,60,984
19,20,Amy,1975,7,1,18,36.7,-67.2,tropical storm,60,984
20,21,Amy,1975,7,2,0,37.4,-66.7,tropical storm,60,984
21,22,Amy,1975,7,2,6,37.3,-65.9,tropical storm,60,984
22,23,Amy,1975,7,2,12,37.3,-65.1,tropical storm,60,981
23,24,Amy,1975,7,2,18,37.3,-64.1,tropical storm,60,986
24,25,Amy,1975,7,3,0,37.7,-62.8,tropical storm,55,986
25,26,Amy,1975,7,3,6,38.2,-61.2,tropical storm,55,986
26,27,Amy,1975,7,3,12,39.3,-59.6,tropical storm,55,986
27,28,Amy,1975,7,3,18,40.5,-58.0,tropical storm,50,986
28,29,Amy,1975,7,4,0,42.5,-54.8,tropical storm,50,986
29,30,Amy,1975,7,4,6,44.5,-51.6,tropical storm,50,986
30,31,Amy,1975,7,4,12,47.0,-48.0,extratropical,45,995
31,32,Blanche,1975,7,24,0,26.0,-68.4,tropical depression,20,1014
32,33,Blanche,1975,7,24,6,26.0,-69.5,tropical depression,20,1014
33,34,Blanche,1975,7,24,12,26.1,-70.5,tropical depression,25,1014
34,35,Blanche,1975,7,24,18,26.5,-71.5,tropical depression,30,1013
35,36,Blanche,1975,7,25,0,27.2,-72.5,tropical depression,30,1012
36,37,Blanche,1975,7,25,6,28.0,-73.6,tropical depression,30,1010
37,38,Blanche,1975,7,25,12,28.9,-74.3,tropical depression,30,1007
38,39,Blanche,1975,7,25,18,29.9,-74.9,tropical depression,30,1006
39,40,Blanche,1975,7,26,0,31.0,-75.0,tropical depression,30,1005
40,41,Blanche,1975,7,26,6,32.2,-74.6,tropical storm,35,1004
41,42,Blanche,1975,7,26,12,33.4,-73.5,tropical storm,35,1003
42,43,Blanche,1975,7,26,18,34.2,-72.2,tropical storm,50,998
43,44,Blanche,1975,7,27,0,35.0,-71.0,tropical storm,60,992
44,45,Blanche,1975,7,27,6,35.9,-70.0,hurricane,65,987
45,46,Blanche,1975,7,27,12,36.9,-69.0,hurricane,70,984
46,47,Blanche,1975,7,27,18,37.9,-68.0,hurricane,75,981
47,48,Blanche,1975,7,28,0,39.3,-67.2,hurricane,75,980
48,49,Blanche,1975,7,28,6,41.2,-66.4,hurricane,70,980
49,50,Blanche,1975,7,28,12,44.0,-65.2,extratropical,60,988
50,51,Blanche,1975,7,28,18,47.2,-62.4,extratropical,60,992
51,52,Caroline,1975,8,24,12,22.4,-69.8,tropical depression,25,1011
52,53,Caroline,1975,8,24,18,21.9,-71.1,tropical depression,25,1011
53,54,Caroline,1975,8,25,0,21.6,-72.5,tropical depression,25,1010
54,55,Caroline,1975,8,25,6,21.2,-73.8,tropical depression,25,1010
55,56,Caroline,1975,8,25,12,20.9,-75.1,tropical depression,25,1011
56,57,Caroline,1975,8,25,18,20.6,-76.4,tropical depression,25,1011
57,58,Caroline,1975,8,26,0,20.4,-77.7,tropical depression,25,1011
58,59,Caroline,1975,8,26,6,20.3,-79.0,tropical depression,25,1011
59,60,Caroline,1975,8,26,12,20.2,-80.3,tropical depression,25,1012
60,61,Caroline,1975,8,26,18,20.2,-81.6,tropical depression,25,1012
61,62,Caroline,1975,8,27,0,20.4,-82.8,tropical depression,25,1013
62,63,Caroline,1975,8,27,6,20.8,-84.0,tropical depression,25,1013
63,64,Caroline,1975,8,27,12,21.1,-85.1,tropical depression,25,1014
64,65,Caroline,1975,8,27,18,21.5,-86.3,tropical depression,25,1014
65,66,Caroline,1975,8,28,0,22.0,-87.5,tropical depression,25,1014
66,67,Caroline,1975,8,28,6,22.4,-88.8,tropical depression,25,1014
67,68,Caroline,1975,8,28,12,22.8,-90.1,tropical depression,25,1013
68,69,Caroline,1975,8,28,18,22.9,-91.0,tropical depression,25,1010
69,70,Caroline,1975,8,29,0,23.0,-91.9,tropical depression,30,1007
70,71,Caroline,1975,8,29,6,23.1,-92.6,tropical storm,35,1003
71,72,Caroline,1975,8,29,12,23.2,-93.2,tropical storm,40,999
72,73,Caroline,1975,8,29,18,23.2,-93.6,tropical storm,50,994
73,74,Caroline,1975,8,30,0,23.3,-94.2,hurricane,65,990
74,75,Caroline,1975,8,30,6,23.5,-94.9,hurricane,65,990
75,76,Caroline,1975,8,30,12,23.7,-95.6,hurricane,65,989
76,77,Caroline,1975,8,30,18,23.8,-96.3,hurricane,70,987
77,78,Caroline,1975,8,31,0,24.0,-97.0,hurricane,100,973
78,79,Caroline,1975,8,31,6,24.1,-97.5,hurricane,100,963
79,80,Caroline,1975,8,31,12,24.3,-97.8,hurricane,90,963
80,81,Caroline,1975,8,31,18,24.8,-98.0,tropical storm,55,993
81,82,Caroline,1975,9,1,0,25.1,-98.3,tropical depression,30,1000
82,83,Caroline,1975,9,1,6,25.2,-98.7,tropical depression,20,1002
83,84,Caroline,1975,9,1,12,25.3,-99.0,tropical depression,20,1002
84,85,Doris,1975,8,28,12,33.3,-46.3,subtropical storm,35,1005
85,86,Doris,1975,8,28,18,33.6,-47.5,subtropical storm,40,1005
86,87,Doris,1975,8,29,0,34.5,-48.1,subtropical storm,40,1005
87,88,Doris,1975,8,29,6,34.7,-48.5,subtropical storm,45,1005
88,89,Doris,1975,8,29,12,34.9,-48.9,tropical storm,45,1005
89,90,Doris,1975,8,29,18,35.2,-49.1,tropical storm,50,1000
90,91,Doris,1975,8,30,0,35.3,-48.9,tropical storm,55,997
91,92,Doris,1975,8,30,6,35.3,-48.5,tropical storm,55,997
92,93,Doris,1975,8,30,12,35.3,-48.0,tropical storm,55,997
93,94,Doris,1975,8,30,18,35.0,-47.1,tropical storm,55,997
94,95,Doris,1975,8,31,0,34.9,-46.3,hurricane,65,990
95,96,Doris,1975,8,31,6,34.8,-45.7,hurricane,65,990
96,97,Doris,1975,8,31,12,34.7,-45.2,hurricane,70,990
97,98,Doris,1975,8,31,18,34.6,-44.9,hurricane,70,990
98,99,Doris,1975,9,1,0,34.5,-44.6,hurricane,75,984
99,100,Doris,1975,9,1,6,34.6,-44.2,hurricane,75,984
100,101,Doris,1975,9,1,12,34.9,-44.0,hurricane,75,984
101,102,Doris,1975,9,1,18,35.4,-44.0,hurricane,75,984
102,103,Doris,1975,9,2,0,35.8,-44.4,hurricane,90,970
103,104,Doris,1975,9,2,6,36.4,-44.5,hurricane,95,965
104,105,Doris,1975,9,2,12,37.0,-44.3,hurricane,95,965
105,106,Doris,1975,9,2,18,37.7,-44.2,hurricane,95,965
106,107,Doris,1975,9,3,0,38.4,-43.8,hurricane,95,965
107,108,Doris,1975,9,3,6,39.7,-43.6,hurricane,95,965
108,109,Doris,1975,9,3,12,41.1,-43.0,hurricane,95,965
109,110,Doris,1975,9,3,18,42.0,-42.5,hurricane,90,970
110,111,Doris,1975,9,4,0,42.8,-42.0,tropical storm,60,995
111,112,Doris,1975,9,4,6,43.2,-41.4,extratropical,45,1005
112,113,Doris,1975,9,4,12,43.5,-40.7,extratropical,45,1005
113,114,Eloise,1975,9,13,12,17.6,-55.2,tropical depression,25,1009
114,115,Eloise,1975,9,13,18,17.7,-56.3,tropical depression,25,1009
115,116,Eloise,1975,9,14,0,17.8,-57.3,tropical depression,25,1009
116,117,Eloise,1975,9,14,6,17.9,-58.3,tropical depression,25,1009
117,118,Eloise,1975,9,14,12,18.0,-59.4,tropical depression,25,1009
118,119,Eloise,1975,9,14,18,18.1,-60.5,tropical depression,25,1009
119,120,Eloise,1975,9,15,0,18.3,-61.7,tropical depression,25,1009
120,121,Eloise,1975,9,15,6,18.5,-62.8,tropical depression,25,1009
121,122,Eloise,1975,9,15,12,18.8,-63.8,tropical depression,30,1007
